dayNumber,background,width,height,color,textColor,image,aspectRatio,quote,quoteAuthor,quoteSource
19,image4_hhv4gb,16%,19%,#0b2956,white,19-_l3bapw,0.5,"« Tu fais quoi pour Noël ?  
Je prends deux kilos. »",Anna Gavalda,"Ensemble, c’est tout"
8,image2_zgl0eh,32%,19%,#f7f5f6,#0b2956,8-_lb0twh,1,Celui qui n’a pas Noël dans le coeur ne le trouvera jamais au pied d’un arbre.,Roy Lemon Smith,
23,image13_ouwx8d,32%,19%,#b52936,white,23-_zgpzq7,1,"Noël, c’est la veille, c’est l’attente.",Georges Dor,Après l'enfance
5,image7_mxtfvt,16%,19%,#0b2956,white,5-_hv15ds,0.5,Le meilleur de tous les cadeaux autour de n'importe quel sapin de Noël : la présence d'une famille heureuse tous enveloppés l'un dans l'autre.,Burton Hillis,
9,image9_zc3gyo,16%,10%,#b52936,white,9-_r4gmik,1,"Pour préparer un arbre de Noël, il faut trois choses, outre les ornements et l’arbre, la foi dans les beaux jours à venir.",ZahradDe Zahrad,Un Arbre de Noël
13,image2_zgl0eh,32%,10%,#0b2956,white,13-_tjinn9,2,A Noël je n'ai pas plus envie de rose que je ne voudrais de neige au printemps. J'aime chaque saison pour ce qu’elle apporte.,William Shakespeare,Peines d’amour perdues
2,image9_zc3gyo,32%,10%,#f7f5f6,#0b2956,2-_puht3y,2,"Noël agite une baguette magique sur ce monde et voici, tout est plus doux et plus beau.",Norman Vincent Peale,The Power of Positive Thinking
6,image6_ccgiqd,16%,10%,#b52936,white,6-_tii71j,1,J'ai compris que le Père Noël n'existait pas quand j'avais 5 ans. Je suis entrée dans un grand magasin et il m'a demandé un autographe.,Shirley Temple,
12,image5_jzvqjy,32%,19%,#f7f5f6,#0b2956,12-_rprqgp,1,"Vous connaissez la différence entre Dieu et le père Noël ?  
Et bien c'est que le père Noël c'est vrai !",Coluche,
15,image1_kfxi3d,16%,19%,#b52936,white,15-_cxuepv,0.5,"Ce qui compte à Noël, ce n’est pas de décorer le sapin, c’est d’être tous réunis.",Kevin Bright,Friends
16,image11_ppqrf9,16%,19%,#0b2956,white,16-_iqb2xy,0.5,"J'avais mis mes souliers devant la cheminée, le père Noël m'a apporté des pieds.",Philippe Geluck,Le Chat
20,image12_rdndlc,32%,19%,#f7f5f6,#0b2956,20-_vefaul,1,"Ce n'est pas seulement pour duper nos enfants que nous les entretenons dans la croyance au Père Noël: leur ferveur nous réchauffe, nous aide à nous tromper nous-mêmes.",Claude Lévi-Strauss,Tristes tropiques
22,image5_jzvqjy,16%,19%,#b52936,white,22-_apnpuv,0.5,"Noël est là,  
Ce joyeux Noël, des cadeaux plein les bras,  
Qui réchauffe nos coeurs et apporte la joie,  
Jour des plus beaux souvenirs,  
Plus beau jour de l'année.",Washington Irving,
14,image14_onqv9j,32%,19%,#0b2956,white,18-_udhbwg,1,"Ne pourrait-on pas fixer la Saint-Sylvestre au 15 août, afin que le père Noël évolue enfin dans des cheminées éteintes ?",Philippe Bouvard,Les Pensées
4,image6_ccgiqd,16%,19%,#f7f5f6,#0b2956,4-_wxcdxa,0.5,"On dit que la jeunesse ne croit plus à rien. Quelle tristesse...  
Et si un jour le Père Noël ne croyait plus aux enfants !",Pierre Doris,
17,image3_qv1nps,32%,19%,#b52936,white,17-_ftigss,1,"Dès que l'adulte tue le mythe de l'existence du père Noël, il oublie le miracle du vrai partage qui existe dans le coeur de l'enfant.",Michel Bouthot,Chemins parsemés d'immortelles pensées
1,image1_kfxi3d,16%,10%,#f7f5f6,#0b2956,1-_pdfrov,1,"L'enfance, c'est de croire qu'avec le sapin de Noël et trois flocons de neige, toute la Terre est changée.",André Laurendeau,Voyages au pays de l'enfance
10,image10_s6s8v3,32%,10%,#b52936,white,10-_ltdrlw,2,"Tout ce que je veux pour Noël, c'est un autre film avec Audrey Hepburn !",Cary Grant,
3,image4_hhv4gb,32%,10%,#f7f5f6,#0b2956,3-_lsxhuf,2,"Sans les cadeaux, Noël ne serait pas Noël.",Louisa May Alcott,Les Filles du docteur March
7,image7_mxtfvt,16%,10%,#f7f5f6,#0b2956,7-_oyla9c,1,"Noël n'est pas un jour ni une saison, c'est un état d'esprit.",John Calvin Coolidge,
24,image8_jneldr,32%,19%,#0b2956,white,24-_txjyhs,1,C'est Noël : Il est grand temps de rallumer les étoiles…,Guillaume Apollinaire,
18,image8_jneldr,32%,19%,#f7f5f6,#0b2956,14-_yuntmk,1,"Quelle est la différence entre un curé et un arbre de Noël ? Aucune : dans les deux cas, les boules, c'est pour décorer.",Les Nuls,"L'Info, c'est rigolo"
21,image3_qv1nps,16%,19%,#0b2956,white,21-_echnhj,0.5,"A Noël, il est tout aussi important d'ouvrir notre coeur que d'ouvrir nos cadeaux.",Janice Maeditere,
11,image15_zrmpnd,16%,19%,#b52936,white,11-_jgivai,0.5,"Quand on mange au chaud le gâteau (de Noël), on mange les oeufs (de Pâques) derrière le fourneau.",Dicton français,
